ID,Leeftijd,Marges,WijkenEnBuurten,Perioden,Gemeentenaam_1,SoortRegio_2,Codering_3,ErvarenGezondheidGoedZeerGoed_4
2858,20300,MW00000,BU03630401,2020JJ00,Amsterdam,Buurt,BU03630401,86.2
2859,20300,MW00000,BU03630402,2012JJ00,Amsterdam,Buurt,BU03630402,83.4
2860,20300,MW00000,BU03630402,2016JJ00,Amsterdam,Buurt,BU03630402,82.0
2861,20300,MW00000,BU03630402,2020JJ00,Amsterdam,Buurt,BU03630402,84.8
2862,20300,MW00000,BU03630403,2012JJ00,Amsterdam,Buurt,BU03630403,80.3
2863,20300,MW00000,BU03630403,2016JJ00,Amsterdam,Buurt,BU03630403,79.7
2864,20300,MW00000,BU03630403,2020JJ00,Amsterdam,Buurt,BU03630403,83.1
2865,20300,MW00000,BU03630404,2012JJ00,Amsterdam,Buurt,BU03630404,72.6
2866,20300,MW00000,BU03630404,2016JJ00,Amsterdam,Buurt,BU03630404,71.2
2867,20300,MW00000,BU03630404,2020JJ00,Amsterdam,Buurt,BU03630404,75.7
2868,20300,MW00000,BU03630405,2012JJ00,Amsterdam,Buurt,BU03630405,78.8
2869,20300,MW00000,BU03630405,2016JJ00,Amsterdam,Buurt,BU03630405,77.9
2870,20300,MW00000,BU03630405,2020JJ00,Amsterdam,Buurt,BU03630405,81.8
2871,20300,MW00000,BU03630406,2012JJ00,Amsterdam,Buurt,BU03630406,78.6
2872,20300,MW00000,BU03630406,2016JJ00,Amsterdam,Buurt,BU03630406,77.9
2873,20300,MW00000,BU03630406,2020JJ00,Amsterdam,Buurt,BU03630406,81.0
2874,20300,MW00000,BU03630407,2012JJ00,Amsterdam,Buurt,BU03630407,76.3
2875,20300,MW00000,BU03630407,2016JJ00,Amsterdam,Buurt,BU03630407,76.5
2876,20300,MW00000,BU03630407,2020JJ00,Amsterdam,Buurt,BU03630407,80.1
2877,20300,MW00000,BU03630408,2012JJ00,Amsterdam,Buurt,BU03630408,79.1
2878,20300,MW00000,BU03630408,2016JJ00,Amsterdam,Buurt,BU03630408,77.5
2879,20300,MW00000,BU03630408,2020JJ00,Amsterdam,Buurt,BU03630408,81.3
2880,20300,MW00000,WK036305,2012JJ00,Amsterdam,Wijk,WK036305,78.3
2881,20300,MW00000,WK036305,2016JJ00,Amsterdam,Wijk,WK036305,77.1
2882,20300,MW00000,WK036305,2020JJ00,Amsterdam,Wijk,WK036305,78.6
2883,20300,MW00000,BU03630500,2012JJ00,Amsterdam,Buurt,BU03630500,79.5
2884,20300,MW00000,BU03630500,2016JJ00,Amsterdam,Buurt,BU03630500,78.8
2885,20300,MW00000,BU03630500,2020JJ00,Amsterdam,Buurt,BU03630500,78.1
2886,20300,MW00000,BU03630501,2012JJ00,Amsterdam,Buurt,BU03630501,79.5
2887,20300,MW00000,BU03630501,2016JJ00,Amsterdam,Buurt,BU03630501,78.0
2888,20300,MW00000,BU03630501,2020JJ00,Amsterdam,Buurt,BU03630501,80.2
2889,20300,MW00000,BU03630502,2012JJ00,Amsterdam,Buurt,BU03630502,76.8
2890,20300,MW00000,BU03630502,2016JJ00,Amsterdam,Buurt,BU03630502,75.9
2891,20300,MW00000,BU03630502,2020JJ00,Amsterdam,Buurt,BU03630502,78.3
2892,20300,MW00000,BU03630503,2012JJ00,Amsterdam,Buurt,BU03630503,78.7
2893,20300,MW00000,BU03630503,2016JJ00,Amsterdam,Buurt,BU03630503,77.1
2894,20300,MW00000,BU03630503,2020JJ00,Amsterdam,Buurt,BU03630503,78.6
2895,20300,MW00000,BU03630505,2012JJ00,Amsterdam,Buurt,BU03630505,79.6
2896,20300,MW00000,BU03630505,2016JJ00,Amsterdam,Buurt,BU03630505,77.4
2897,20300,MW00000,BU03630505,2020JJ00,Amsterdam,Buurt,BU03630505,79.5
2898,20300,MW00000,BU03630506,2012JJ00,Amsterdam,Buurt,BU03630506,68.1
2899,20300,MW00000,BU03630506,2016JJ00,Amsterdam,Buurt,BU03630506,66.5
2900,20300,MW00000,BU03630506,2020JJ00,Amsterdam,Buurt,BU03630506,71.0
2901,20300,MW00000,WK036306,2012JJ00,Amsterdam,Wijk,WK036306,77.4
2902,20300,MW00000,WK036306,2016JJ00,Amsterdam,Wijk,WK036306,76.9
2903,20300,MW00000,WK036306,2020JJ00,Amsterdam,Wijk,WK036306,80.4
2904,20300,MW00000,BU03630600,2012JJ00,Amsterdam,Buurt,BU03630600,78.2
2905,20300,MW00000,BU03630600,2016JJ00,Amsterdam,Buurt,BU03630600,77.7
2906,20300,MW00000,BU03630600,2020JJ00,Amsterdam,Buurt,BU03630600,79.5
2907,20300,MW00000,BU03630602,2012JJ00,Amsterdam,Buurt,BU03630602,79.6
2908,20300,MW00000,BU03630602,2016JJ00,Amsterdam,Buurt,BU03630602,78.9
2909,20300,MW00000,BU03630602,2020JJ00,Amsterdam,Buurt,BU03630602,82.4
2910,20300,MW00000,BU03630603,2012JJ00,Amsterdam,Buurt,BU03630603,72.9
2911,20300,MW00000,BU03630603,2016JJ00,Amsterdam,Buurt,BU03630603,71.8
2912,20300,MW00000,BU03630603,2020JJ00,Amsterdam,Buurt,BU03630603,75.7
2913,20300,MW00000,BU03630604,2012JJ00,Amsterdam,Buurt,BU03630604,77.4
2914,20300,MW00000,BU03630604,2016JJ00,Amsterdam,Buurt,BU03630604,78.0
2915,20300,MW00000,BU03630604,2020JJ00,Amsterdam,Buurt,BU03630604,81.1
2916,20300,MW00000,BU03630605,2012JJ00,Amsterdam,Buurt,BU03630605,85.1
2917,20300,MW00000,BU03630605,2016JJ00,Amsterdam,Buurt,BU03630605,85.0
2918,20300,MW00000,BU03630605,2020JJ00,Amsterdam,Buurt,BU03630605,88.1
2919,20300,MW00000,BU03630606,2012JJ00,Amsterdam,Buurt,BU03630606,77.1
2920,20300,MW00000,BU03630606,2016JJ00,Amsterdam,Buurt,BU03630606,77.0
2921,20300,MW00000,BU03630606,2020JJ00,Amsterdam,Buurt,BU03630606,81.1
2922,20300,MW00000,BU03630607,2012JJ00,Amsterdam,Buurt,BU03630607,77.5
2923,20300,MW00000,BU03630607,2016JJ00,Amsterdam,Buurt,BU03630607,77.1
2924,20300,MW00000,BU03630607,2020JJ00,Amsterdam,Buurt,BU03630607,81.6
2925,20300,MW00000,BU03630608,2012JJ00,Amsterdam,Buurt,BU03630608,78.0
2926,20300,MW00000,BU03630608,2016JJ00,Amsterdam,Buurt,BU03630608,83.0
2927,20300,MW00000,BU03630608,2020JJ00,Amsterdam,Buurt,BU03630608,87.1
2928,20300,MW00000,BU03630609,2012JJ00,Amsterdam,Buurt,BU03630609,79.4
2929,20300,MW00000,BU03630609,2016JJ00,Amsterdam,Buurt,BU03630609,75.1
2930,20300,MW00000,BU03630609,2020JJ00,Amsterdam,Buurt,BU03630609,79.1
2931,20300,MW00000,BU03630610,2012JJ00,Amsterdam,Buurt,BU03630610,78.6
2932,20300,MW00000,BU03630610,2016JJ00,Amsterdam,Buurt,BU03630610,78.5
2933,20300,MW00000,BU03630610,2020JJ00,Amsterdam,Buurt,BU03630610,80.9
2934,20300,MW00000,BU03630611,2012JJ00,Amsterdam,Buurt,BU03630611,75.2
2935,20300,MW00000,BU03630611,2016JJ00,Amsterdam,Buurt,BU03630611,74.7
2936,20300,MW00000,BU03630611,2020JJ00,Amsterdam,Buurt,BU03630611,79.0
